source_file,step,voltage_out_mean_V,voltage_out_ripple_V,voltage_in_mean_V,voltage_in_ripple_V,conversion_ratio,inductor_current_mean_A,inductor_current_rms_A,inductor_current_peak_A,inductor_current_ripple_A,is_ccm,switching_freq_Hz,load_current_mean_A,power_out_W,power_in_W,efficiency,power_loss_W,heatsink_thermal_resistance_CW,heatsink_volume_cm3,switch_voltage_peak_V,switch_current_peak_A,switch_current_rms_A,inductor_volume_cm3,total_volume_cm3,count_mosfets,count_diodes,count_inductors,count_capacitors
Phase1_cons4_b15_cand1,0,2.7952432623644996,0.0035414696,12.0,0.0,0.23293693853037498,8.47043403297247,8.472993462742236,8.798521,0.6569557,1,100000.00000000001,8.470434259527881,23.67692429324674,41.687732186711706,0.5679590385776356,18.010807893464968,3.219388519536725,12.42471971222537,8.145505,8.798497,5.426635415834125,1.3199999999999998,33.74471971222537,1,1,1,1
Phase1_cons4_b15_cand2,0,2.7952432623644996,0.0035414696,12.0,0.0,0.23293693853037498,8.47043403297247,8.472993462742236,8.798521,0.6569557,1,100000.00000000001,8.470434259527881,23.67692429324674,41.687732186711706,0.5679590385776356,18.010807893464968,3.219388519536725,12.42471971222537,8.145505,8.798497,5.426635415834125,1.3199999999999998,33.74471971222537,1,1,1,1
Phase1_cons4_b15_cand3,0,2.7952432623644996,0.0035414696,12.0,0.0,0.23293693853037498,8.47043403297247,8.472993462742236,8.798521,0.6569557,1,100000.00000000001,8.470434259527881,23.67692429324674,41.687732186711706,0.5679590385776356,18.010807893464968,3.219388519536725,12.42471971222537,8.145505,8.798497,5.426635415834125,1.3199999999999998,33.74471971222537,1,1,1,1
Phase1_cons4_b15_cand4,0,2.7952432623644996,0.0035414696,12.0,0.0,0.23293693853037498,8.47043403297247,8.472993462742236,8.798521,0.6569557,1,100000.00000000001,8.470434259527881,23.67692429324674,41.687732186711706,0.5679590385776356,18.010807893464968,3.219388519536725,12.42471971222537,8.145505,8.798497,5.426635415834125,1.3199999999999998,33.74471971222537,1,1,1,1
Phase1_cons4_b15_cand5,0,3.0851374306623343,0.003624916,14.0,0.0,0.2203669593330239,9.348901395290405,9.351201835285499,9.679068,0.6612892,1,100000.00000000001,9.348901525986527,28.842646033397248,58.915104983424975,0.48956283862197586,30.072458950027727,1.326506476947793,30.15439479197829,7.9966245,9.679055,6.2741461528366615,1.3199999999999998,51.47439479197829,1,1,1,1
Phase1_cons4_b15_cand6,0,2.9410314788637084,0.0035934448,12.0,0.0,0.2450859565719757,8.91221661934805,8.914643941015242,9.241864,0.66016483,1,100000.00000000001,8.912216888225792,26.21111041473282,46.000947670231874,0.5697950094992184,19.789837255499055,2.7951338559583565,14.310584773867783,8.069533,9.241846,5.846997443733018,1.3199999999999998,35.63058477386778,1,1,1,1
Phase1_cons4_b15_cand7,0,2.831850007755427,0.00355649,14.0,0.0,0.20227500055395908,8.581363680900301,8.583889632859842,8.909939,0.6579542,1,100000.00000000001,8.581363599450224,24.301134575655258,49.87332942834855,0.48725711425718904,25.57219485269329,1.82392274068128,21.93075348414101,8.126257,8.909918,5.531077465698732,1.3199999999999998,43.250753484141015,1,1,1,1
Phase1_cons4_b15_cand8,0,2.8683493987749515,0.0035700798,14.0,0.0,0.20488209991249653,8.691968063376189,8.69446085830546,9.020967,0.658823,1,100000.00000000001,8.69196800433485,24.931601199404984,51.1245870998332,0.48766361967324967,26.192985900428216,1.7451435786330256,22.92075018339298,8.107182,9.020946,5.635958455378857,1.3199999999999998,44.240750183392976,1,1,1,1
