source_file,step,voltage_out_mean_V,voltage_out_ripple_V,voltage_in_mean_V,voltage_in_ripple_V,conversion_ratio,inductor_current_mean_A,inductor_current_rms_A,inductor_current_peak_A,inductor_current_ripple_A,is_ccm,switching_freq_Hz,load_current_mean_A,power_out_W,power_in_W,efficiency,power_loss_W,heatsink_thermal_resistance_CW,heatsink_volume_cm3,switch_voltage_peak_V,switch_current_peak_A,switch_current_rms_A,inductor_volume_cm3,total_volume_cm3,count_mosfets,count_diodes,count_inductors,count_capacitors
Phase1_cons4_b20_cand1,0,2.7821747554177936,0.0025558472,10.0,0.0,0.27821747554177934,8.43083279293698,8.431108061186766,8.537703,0.21381474,1,100000.00000000001,8.430832589319284,23.45604959715774,35.08257838889656,0.6685953733828598,11.626528791738817,5.810866512487924,6.883654944411034,7.946082,8.538156,5.438762987189254,3.9999999999999996,30.883654944411035,1,1,1,1
Phase1_cons4_b20_cand3,0,2.782188583733905,0.0024909973,10.0,0.0,0.2782188583733905,8.430874783936359,8.43212106788257,8.658158,0.45492363,1,100000.00000000001,8.430874491404156,23.456282760878032,35.083712156318796,0.6685804129382418,11.627429395440764,5.810300248594017,6.884325815981582,7.965434,8.658592,5.439590487006842,1.88,28.764325815981582,1,1,1,1
Phase1_cons4_b20_cand4,0,2.782188583733905,0.0024909973,10.0,0.0,0.2782188583733905,8.430874783936359,8.43212106788257,8.658158,0.45492363,1,100000.00000000001,8.430874491404156,23.456282760878032,35.083712156318796,0.6685804129382418,11.627429395440764,5.810300248594017,6.884325815981582,7.965434,8.658592,5.439590487006842,1.88,28.764325815981582,1,1,1,1
Phase1_cons4_b20_cand5,0,2.9834666661813958,0.0024843216,12.0,0.0,0.24862222218178298,10.731894925403505,10.732835422156219,10.958159,0.4529581,1,100000.00000000001,10.73189486089684,32.01825058244915,57.9666197599783,0.5523566962335693,25.948369177529152,1.7757357280706705,22.52587441232589,7.758277,10.958151,7.200933606942104,1.88,44.405874412325886,1,1,1,1
Phase1_cons4_b20_cand6,0,2.9834666661813958,0.0024843216,12.0,0.0,0.24862222218178298,10.731894925403505,10.732835422156219,10.958159,0.4529581,1,100000.00000000001,10.73189486089684,32.01825058244915,57.9666197599783,0.5523566962335693,25.948369177529152,1.7757357280706705,22.52587441232589,7.758277,10.958151,7.200933606942104,1.88,44.405874412325886,1,1,1,1
Phase1_cons4_b20_cand7,0,2.9834666661813958,0.0024843216,12.0,0.0,0.24862222218178298,10.731894925403505,10.732835422156219,10.958159,0.4529581,1,100000.00000000001,10.73189486089684,32.01825058244915,57.9666197599783,0.5523566962335693,25.948369177529152,1.7757357280706705,22.52587441232589,7.758277,10.958151,7.200933606942104,1.88,44.405874412325886,1,1,1,1
Phase1_cons4_b20_cand8,0,2.9834666661813958,0.0024843216,12.0,0.0,0.24862222218178298,10.731894925403505,10.732835422156219,10.958159,0.4529581,1,100000.00000000001,10.73189486089684,32.01825058244915,57.9666197599783,0.5523566962335693,25.948369177529152,1.7757357280706705,22.52587441232589,7.758277,10.958151,7.200933606942104,1.88,44.405874412325886,1,1,1,1
