source_file,step,voltage_out_mean_V,voltage_out_ripple_V,voltage_in_mean_V,voltage_in_ripple_V,conversion_ratio,inductor_current_mean_A,inductor_current_rms_A,inductor_current_peak_A,inductor_current_ripple_A,is_ccm,switching_freq_Hz,load_current_mean_A,power_out_W,power_in_W,efficiency,power_loss_W,heatsink_thermal_resistance_CW,heatsink_volume_cm3,switch_voltage_peak_V,switch_current_peak_A,switch_current_rms_A,inductor_volume_cm3,total_volume_cm3,count_mosfets,count_diodes,count_inductors,count_capacitors
Phase1_cons4_b2_cand1,0,6.4290127434932245,0.44953203,13.0,0.0,0.49453944180717113,2.8234630525867663,2.830833736845586,3.2029672,0.85276866,1,100000.00000000001,2.624086837125989,16.870287715915815,22.990895463831382,0.7337812371186528,6.120607747915567,12.38750978674423,3.2290590028678454,10.457023,3.2029672,2.242506048165028,3.9999999999999996,27.229059002867846,1,1,1,1
Phase1_cons4_b2_cand2,0,5.820949934455185,0.39036465,12.0,0.0,0.48507916120459876,2.548632404863556,2.554983059445835,2.8880272,0.7579148,1,100000.00000000001,2.375897931170284,13.829982906717875,19.155598738452184,0.7219812387777845,5.325615831734309,14.460595485220983,2.7661378150630656,9.531501,2.8880272,2.0238852959149334,3.9999999999999996,26.766137815063065,1,1,1,1
Phase1_cons4_b2_cand4,0,7.1724358791040315,0.0046629906,12.0,0.0,0.597702989925336,2.4537926723420806,2.4567622625566106,2.6401656,0.3750012,1,100000.00000000001,2.4537926568377695,17.599670491785226,22.973466349058754,0.7660868509947913,5.373795857273528,14.317497027720357,2.793784410959213,9.49495,2.6401725,2.170186617208395,1.88,24.67378441095921,1,1,1,1
