source_file,step,voltage_out_mean_V,voltage_out_ripple_V,voltage_in_mean_V,voltage_in_ripple_V,conversion_ratio,inductor_current_mean_A,inductor_current_rms_A,inductor_current_peak_A,inductor_current_ripple_A,is_ccm,switching_freq_Hz,load_current_mean_A,power_out_W,power_in_W,efficiency,power_loss_W,heatsink_thermal_resistance_CW,heatsink_volume_cm3,switch_voltage_peak_V,switch_current_peak_A,switch_current_rms_A,inductor_volume_cm3,total_volume_cm3,count_mosfets,count_diodes,count_inductors,count_capacitors
top1,0,3.6481921087398335,0.00052285194,12.0,0.0,0.30401600906165277,13.122993286842895,13.123150078185482,13.225125,0.2043953,1,99999.99999999999,13.122993298149806,47.87520059335584,86.62789378031485,0.5526534064739654,38.75269318695901,0.6933959425716525,57.68709844428687,7.391441822052002,13.225125,9.733314320698154,3.9999999999999996,81.68709844428687,1,1,1,1
top3,0,4.150250399722702,5.4836273e-05,12.0,0.0,0.3458541999768918,7.4657275974860635,7.466059397515575,7.5793986,0.22733688,1,99999.99999999999,14.928957816354865,61.95891314477013,98.55120304699047,0.6286976843420911,36.59228990222034,0.822893708678297,48.60895104453599,8.28865909576416,7.5793986,5.537592985233099,7.999999999999999,76.60895104453598,2,2,2,1
top4,0,3.840159871726531,0.00033593178,12.0,0.0,0.32001332264387755,13.81352419962956,13.813587908501567,13.879797,0.1326065,1,99999.99999999999,13.813524771288854,53.04614351380386,96.15888074404225,0.5516510082412794,43.11273723023839,0.4715751181853225,84.82211732019448,7.292214870452881,13.879797,10.521039169163954,5.999999999999999,110.82211732019448,1,1,1,2
