source_file,step,voltage_out_mean_V,voltage_out_ripple_V,voltage_in_mean_V,voltage_in_ripple_V,conversion_ratio,inductor_current_mean_A,inductor_current_rms_A,inductor_current_peak_A,inductor_current_ripple_A,is_ccm,switching_freq_Hz,load_current_mean_A,power_out_W,power_in_W,efficiency,power_loss_W,heatsink_thermal_resistance_CW,heatsink_volume_cm3,switch_voltage_peak_V,switch_current_peak_A,switch_current_rms_A,inductor_volume_cm3,total_volume_cm3,count_mosfets,count_diodes,count_inductors,count_capacitors
Phase1_cons4_b12_cand1,0,3.7116162926129386,0.013995886,14.0,0.0,0.26511544947235277,1.3746729060711398,1.3872746779715057,1.6718076,0.5946412,1,50000.00000000001,1.374672728706147,5.102257696876421,6.643443954013096,0.7680139596563177,1.5411862571366743,53.65232153569748,0.7455408984192057,12.400776,1.6718491,0.8153209226214602,3.9999999999999996,24.745540898419204,1,1,1,1
Phase1_cons4_b12_cand2,0,3.7116162926129386,0.013995886,14.0,0.0,0.26511544947235277,1.3746729060711398,1.3872746779715057,1.6718076,0.5946412,1,50000.00000000001,1.374672728706147,5.102257696876421,6.643443954013096,0.7680139596563177,1.5411862571366743,53.65232153569748,0.7455408984192057,12.400776,1.6718491,0.8153209226214602,3.9999999999999996,24.745540898419204,1,1,1,1
Phase1_cons4_b12_cand3,0,3.7116162926129386,0.013995886,14.0,0.0,0.26511544947235277,1.3746729060711398,1.3872746779715057,1.6718076,0.5946412,1,50000.00000000001,1.374672728706147,5.102257696876421,6.643443954013096,0.7680139596563177,1.5411862571366743,53.65232153569748,0.7455408984192057,12.400776,1.6718491,0.8153209226214602,3.9999999999999996,24.745540898419204,1,1,1,1
Phase1_cons4_b12_cand4,0,4.028364920739648,0.0142912865,14.0,0.0,0.2877403514814034,1.4919871672196898,1.5043547682651142,1.7978467,0.6121701,1,50000.00000000001,1.4919869957126195,6.010268075728452,7.7325097163702345,0.7772726186175126,1.7222416406417826,47.854282229713874,0.8358708591216324,12.37132,1.797902,0.9157245959565012,3.9999999999999996,24.835870859121634,1,1,1,1
Phase1_cons4_b12_cand5,0,2.782188583733905,0.0024909973,10.0,0.0,0.2782188583733905,8.430874783936359,8.43212106788257,8.658158,0.45492363,1,100000.00000000001,8.430874491404156,23.456282760878032,35.083712156318796,0.6685804129382418,11.627429395440764,5.810300248594017,6.884325815981582,7.965434,8.658592,5.439590487006842,1.88,28.764325815981582,1,1,1,1
Phase1_cons4_b12_cand6,0,2.782188583733905,0.0024909973,10.0,0.0,0.2782188583733905,8.430874783936359,8.43212106788257,8.658158,0.45492363,1,100000.00000000001,8.430874491404156,23.456282760878032,35.083712156318796,0.6685804129382418,11.627429395440764,5.810300248594017,6.884325815981582,7.965434,8.658592,5.439590487006842,1.88,28.764325815981582,1,1,1,1
Phase1_cons4_b12_cand7,0,2.695806523975744,0.0024065971,10.0,0.0,0.2695806523975744,9.697145882248554,9.69816717195171,9.919361,0.44477463,1,100000.00000000001,9.697145638429848,26.141628476022117,40.35091814596589,0.6478570916641123,14.209289669943775,4.482002054599281,8.924583146710818,7.7627506,9.919346,6.2561349693861485,1.88,30.80458314671082,1,1,1,1
Phase1_cons4_b12_cand8,0,2.7821885496156153,0.005437851,10.0,0.0,0.2782188549615615,8.430874581460692,8.432121422353887,8.658206,0.455019,1,100000.00000000001,8.430874249424175,23.456281799997086,35.08372179467738,0.6685802018745823,11.627439994680294,5.810293584734783,6.8843337116545795,7.965442,8.65864,5.439592408052726,1.88,28.76433371165458,1,1,1,1
