source_file,step,voltage_out_mean_V,voltage_out_ripple_V,voltage_in_mean_V,voltage_in_ripple_V,conversion_ratio,inductor_current_mean_A,inductor_current_rms_A,inductor_current_peak_A,inductor_current_ripple_A,is_ccm,switching_freq_Hz,load_current_mean_A,power_out_W,power_in_W,efficiency,power_loss_W,heatsink_thermal_resistance_CW,heatsink_volume_cm3,switch_voltage_peak_V,switch_current_peak_A,switch_current_rms_A,inductor_volume_cm3,total_volume_cm3,count_mosfets,count_diodes,count_inductors,count_capacitors
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand1_b1,0,272.59221433723945,3.0192566,277.0,0.0,0.9840874163799258,935.5252907764593,935.5253386657986,936.0342,1.0476074,1,100000.00000000001,920.9196402783505,251035.52397012958,259140.50574921822,0.9687236012924503,8104.9817790886445,-1.489512622937746,inf,274.98874,121.0,41.93275914224438,18.8,inf,2,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand2_b1,0,0.5996590884508557,0.109877646,207.99999999999997,0.0,0.0028829763867829605,5.886818831718551,5.894574847579375,6.3976216,1.0659118,1,100000.00000000001,5.765952767641348,3.4576059806944994,508.17452837407484,0.006803973413931727,504.71692239338034,-1.3315887654471186,inf,8.690768,6.397615,3.7925294734097927,18.8,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand3_b1,0,1.3303314937992101,0.077602625,277.0,0.0,0.004802640771838304,0.011585194530946894,0.017493746869436617,0.03841924,0.03841924,0,100000.00000000001,13.303314993012414,17.697818907135634,8814.950476682661,0.0020077048593693143,8797.252657775525,-1.490337892600496,inf,2.291184,77.16299,49.33463384605985,3.9999999999999996,inf,2,2,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand4_b1,0,2.5411942112650006,0.30881214,207.99999999999997,0.0,0.012217279861850967,24.67179033664631,24.692766509178423,26.402046,3.4894276,1,50000.00000000001,24.671788323717497,62.69580566978633,2570.4956309928493,0.0243905513449833,2507.799825323063,-1.4661057476989616,inf,6.2132325,26.402046,17.490979730164582,0.39999999999999997,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand5_b1,0,2.1376369522115057,0.23822832,207.99999999999997,0.0,0.010277100731786087,20.753759593890745,20.77586414148995,22.359724,3.2162418,1,100000.00000000001,20.75375676546994,44.363997359078084,1799.0061167563665,0.02466028155538848,1754.6421193972885,-1.4515570730576117,inf,6.624615,22.359648,13.422704820369866,0.22399999999999998,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand6_b1,0,4.407585999022308,0.3538146,208.0,0.0,0.021190317302991864,0.042634727160125716,0.07120711576068056,0.17461228,0.17468609,0,100000.00000000001,13.356321373660883,58.869135084990106,2776.805350648936,0.021200310303072723,2717.936215563946,-1.4687262712372509,inf,5.5043807,34.17631,20.71007340813705,0.88,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand7_b1,0,3.4377679279902122,0.024976015,240.0,0.0,0.014324033033292551,10.414168006557192,10.429943897703907,11.397005,1.9760017,1,50000.00000000001,10.417478615394515,35.81287387452715,1250.5221829676025,0.028638335538790645,1214.7093090930753,-1.4300244104793578,inf,7.929856,11.397005,7.379573880013899,0.88,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_cand8_b1,0,239.06021118164065,0.0,240.0,0.0,0.996084213256836,23.90602111816406,23.906021496048464,23.906021,0.0,1,100000.00000000001,23.90602111816406,5714.978457021061,5737.4453125,0.9960841708713125,22.46685547893867,2.283350993630702,17.518112682447015,239.97609,2.40902e-10,2.40901993335147e-10,3.9999999999999996,41.51811268244701,2,1,1,1
