source_file,step,voltage_out_mean_V,voltage_out_ripple_V,voltage_in_mean_V,voltage_in_ripple_V,conversion_ratio,inductor_current_mean_A,inductor_current_rms_A,inductor_current_peak_A,inductor_current_ripple_A,is_ccm,switching_freq_Hz,load_current_mean_A,power_out_W,power_in_W,efficiency,power_loss_W,heatsink_thermal_resistance_CW,heatsink_volume_cm3,switch_voltage_peak_V,switch_current_peak_A,switch_current_rms_A,inductor_volume_cm3,total_volume_cm3,count_mosfets,count_diodes,count_inductors,count_capacitors
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g1_cand1_b3,0,2.839091546021716,0.2516079,240.0,0.0,0.011829548108423817,8.603311838659565,8.628453082197932,9.703759,2.2065954,1,100000.00000000001,8.603307676919123,24.42557809336481,860.5595418534293,0.02838336791985159,836.1339637600645,-1.3983416489652472,inf,8.260525,9.703698,5.5752608821484575,0.39999999999999997,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g1_cand2_b3,0,2.839091546021716,0.2516079,240.0,0.0,0.011829548108423817,8.603311838659565,8.628453082197932,9.703759,2.2065954,1,100000.00000000001,8.603307676919123,24.42557809336481,860.5595418534293,0.02838336791985159,836.1339637600645,-1.3983416489652472,inf,8.260525,9.703698,5.5752608821484575,0.39999999999999997,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g1_cand3_b3,0,1.9230035964934582,0.03501582,240.0,0.0,0.008012514985389409,5.844639950316499,5.844773276819428,5.931237,0.18761015,1,200000.00000000003,5.827283627724977,11.205887373902577,421.0380636930036,0.026614903354850256,409.83217631910105,-1.2925980318006611,inf,8.603115,5.931218,3.2019883277833014,3.9999999999999996,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g1_cand4_b3,0,2.839091546021716,0.2516079,240.0,0.0,0.011829548108423817,8.603311838659565,8.628453082197932,9.703759,2.2065954,1,100000.00000000001,8.603307676919123,24.42557809336481,860.5595418534293,0.02838336791985159,836.1339637600645,-1.3983416489652472,inf,8.260525,9.703698,5.5752608821484575,0.39999999999999997,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g2_cand1_b3,0,187.38393023109353,5.2780914,207.99999999999997,0.0,0.9008842799571806,243.29717669843848,243.30889385143183,247.2555,8.256729,1,100000.00000000001,187.75944915540674,35183.10352076529,50605.81265386187,0.6952383861793467,15422.709133096578,-1.4944886466270966,inf,191.15823,121.0,73.27240231986912,18.8,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g2_cand2_b3,0,187.68065172376976,1.2096405,208.0,0.0,0.9023108255950469,18818.380026932482,18818.380008221764,18819.186,1.65625,1,100000.00000000001,18768.06507073168,3522402.684069041,3914223.052429012,0.8998983034150743,391820.36835997086,-1.499783063855624,inf,189.27797,121.0,78.05199522158162,1.9999999999999998,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g2_cand3_b3,0,256.94784372869447,4.632431,250.0,0.0,1.0277913749147778,327.3347366489539,327.37083758513427,334.89084,16.505493,1,100000.00000000001,256.94784372869447,66022.1943968256,81833.68431988875,0.8067850658995643,15811.489923063156,-1.4946241625290468,inf,259.6087,121.0,85.56847613064372,3.9999999999999996,inf,1,1,1,1
00_Step_Down_4_208V_277V_Phase_to_3_3V_MCU_g2_cand4_b3,0,256.94784372869447,4.632431,250.0,0.0,1.0277913749147778,327.3347366489539,327.37083758513427,334.89084,16.505493,1,100000.00000000001,256.94784372869447,66022.1943968256,81833.68431988875,0.8067850658995643,15811.489923063156,-1.4946241625290468,inf,259.6087,121.0,85.56847613064372,3.9999999999999996,inf,1,1,1,1
